year,month,value
1970,11,0.03
1970,12,-0.11
1971,1,-0.02
1971,2,-0.14
1971,3,-0.21
1971,4,-0.05
1971,5,-0.07
1971,6,-0.21
1971,7,-0.1
1971,8,0.02
1971,9,0.01
1971,10,-0.02
1971,11,-0.11
1971,12,-0.05
1972,1,-0.3
1972,2,-0.31
1972,3,-0.07
1972,4,-0.06
1972,5,-0.03
1972,6,0.07
1972,7,0.05
1972,8,0.19
1972,9,0.05
1972,10,-0.04
1972,11,-0.06
1972,12,0.13
1973,1,0.25
1973,2,0.31
1973,3,0.36
1973,4,0.34
1973,5,0.34
1973,6,0.27
1973,7,0.19
1973,8,0.05
1973,9,0.1
1973,10,0.19
1973,11,0.1
1973,12,-0.02
1974,1,-0.07
1974,2,-0.24
1974,3,-0.01
1974,4,-0.08
1974,5,0.02
1974,6,0.01
1974,7,-0.03
1974,8,0.12
1974,9,-0.16
1974,10,-0.08
1974,11,-0.08
1974,12,-0.04
1975,1,0.05
1975,2,0.09
1975,3,0.13
1975,4,0.04
1975,5,0.26
1975,6,0.04
1975,7,0.06
1975,8,-0.25
1975,9,-0.03
1975,10,-0.04
1975,11,-0.06
1975,12,-0.22
1976,1,-0.02
1976,2,-0.08
1976,3,-0.31
1976,4,-0.23
1976,5,-0.24
1976,6,-0.18
1976,7,-0.17
1976,8,-0.24
1976,9,-0.16
1976,10,-0.37
1976,11,-0.16
1976,12,-0.02
1977,1,0.14
1977,2,0.22
1977,3,0.31
1977,4,0.31
1977,5,0.3
1977,6,0.32
1977,7,0.31
1977,8,0.29
1977,9,-0.09
1977,10,0
1977,11,0.24
1977,12,0.14
1978,1,0.13
1978,2,0.2
1978,3,0.27
1978,4,0.27
1978,5,0.2
1978,6,0.04
1978,7,0.19
1978,8,-0.14
1978,9,0.15
1978,10,0.04
1978,11,0.15
1978,12,0.11
1979,1,0.17
1979,2,-0.1
1979,3,0.25
1979,4,0.2
1979,5,0.09
1979,6,0.21
1979,7,0.04
1979,8,0.13
1979,9,0.29
1979,10,0.27
1979,11,0.3
1979,12,0.53
1980,1,0.36
1980,2,0.46
1980,3,0.41
1980,4,0.44
1980,5,0.46
1980,6,0.22
1980,7,0.37
1980,8,0.31
1980,9,0.33
1980,10,0.23
1980,11,0.29
1980,12,0.19
1981,1,0.62
